topic,difficulty,question,option_a,option_b,option_c,correct_answer,explanation
Generative AI,2,What is the generator's goal in a GAN?,To classify real vs fake images,To minimize reconstruction loss,To maximize the discriminator's accuracy,To produce samples that fool the discriminator,The generator is trained to produce outputs that the discriminator cannot distinguish from real data.
Generative AI,1,What is the main difference between discriminative and generative models?,Discriminative models are faster,Discriminative models use more data,Discriminative models have more layers,Generative models learn the data distribution while discriminative models learn decision boundaries,Generative models can create new samples while discriminative models focus on classifying or predicting labels.
Generative AI,3,What is a conditional generative model?,A model that only generates text,A model that requires no training,A model that generates random outputs,A model that generates outputs conditioned on a given input or label,Conditional generative models allow control over the generated output by conditioning on class labels text prompts or other signals.
LLMs,1,What does LLM stand for?,Layered Logic Module,Linear Learning Machine,Lightweight Language Mechanism,Large Language Model,LLM stands for Large Language Model which refers to neural networks trained on massive text corpora to understand and generate language.
LLMs,1,Which company created GPT-4?,Google,Meta,Anthropic,OpenAI,GPT-4 was developed by OpenAI and is one of the most capable large language models available.
LLMs,1,What is the primary training objective of most LLMs?,Image classification,Sentiment analysis,Named entity recognition,Predicting the next token in a sequence,Most LLMs are trained with a next-token prediction objective on large text datasets which teaches them language patterns.
LLMs,2,What is the context window of an LLM?,The model's training dataset size,The number of model parameters,The GPU memory used during inference,The maximum number of tokens the model can process at once,The context window defines how much text the model can consider at one time during both input and output generation.
LLMs,2,What is tokenization in LLMs?,Converting tokens to embeddings,Splitting the model into layers,Compressing model weights,Breaking text into smaller units called tokens for processing,Tokenization converts raw text into a sequence of tokens that the model can process using its vocabulary.
LLMs,2,What is an embedding in the context of LLMs?,A type of attention mechanism,A compression algorithm,A training loss function,A dense vector representation of a token or text,Embeddings map tokens or text to continuous vector spaces where semantic similarity corresponds to geometric proximity.
LLMs,2,What is perplexity as a metric for LLMs?,The number of model parameters,The training time in hours,The size of the vocabulary,A measure of how well a model predicts a text sample,Lower perplexity indicates the model assigns higher probability to the test text meaning it better models the language.
LLMs,3,What is in-context learning in LLMs?,Training the model on new data,Updating model weights at inference,Caching previous responses,Learning from examples provided in the prompt without weight updates,In-context learning allows LLMs to adapt to new tasks by conditioning on demonstrations in the prompt without any gradient updates.
LLMs,3,What is chain-of-thought prompting?,A method to chain multiple models,A technique to link API calls,A way to compress long prompts,A prompting technique that encourages step-by-step reasoning,Chain-of-thought prompting guides the model to produce intermediate reasoning steps leading to more accurate answers on complex tasks.
LLMs,3,What is the difference between GPT and BERT architectures?,BERT uses more parameters,GPT is bidirectional while BERT is unidirectional,GPT uses convolutional layers,GPT is autoregressive while BERT is bidirectional,GPT generates text left-to-right while BERT uses masked language modeling to learn bidirectional context.
LLMs,3,What is instruction tuning?,Training on raw text only,Training with adversarial examples,Training to minimize perplexity,Fine-tuning an LLM on instruction-response pairs to follow directions,Instruction tuning teaches models to follow natural language instructions making them more useful for real-world tasks.
LLMs,4,What is the scaling law in LLMs?,The rule that smaller models are better,The relationship between batch size and accuracy,The effect of dropout on performance,The empirical relationship between model size data and compute and performance,Scaling laws describe how model performance improves predictably as model size training data and compute are increased.
LLMs,4,What is sparse attention in LLMs?,Attention with zero weights,Attention applied only to the first token,Attention that ignores padding tokens,Attention that only computes scores for a subset of token pairs,Sparse attention reduces the quadratic complexity of full attention by limiting which token pairs interact enabling longer contexts.
LLMs,4,What is a mixture of experts (MoE) in LLMs?,A model trained by multiple teams,An ensemble of small models,A model with multiple output heads,A model architecture where only a subset of parameters are activated per token,MoE models route each token to a small number of expert sub-networks reducing computation while maintaining large model capacity.
LLMs,4,What is quantization in the context of LLMs?,Measuring model uncertainty,Counting model parameters,Splitting the model across GPUs,Reducing the numerical precision of model weights to decrease memory and speed up inference,Quantization converts weights from 32-bit floats to lower precision formats like 8-bit integers enabling deployment on resource-constrained hardware.
LLMs,5,What is the attention sink phenomenon in LLMs?,When attention scores are all equal,When the model ignores long contexts,When attention heads collapse,When initial tokens receive disproportionately high attention scores,Attention sinks occur when certain tokens like the first token accumulate high attention weights acting as a sink for attention mass.
LLMs,5,What is speculative decoding?,Decoding with lower precision,Decoding without a KV cache,Decoding using only the top token,Using a small draft model to propose tokens verified by the large model,Speculative decoding accelerates LLM inference by having a fast draft model generate candidate tokens that the main model verifies in parallel.
LLMs,5,What is the lost in the middle problem in LLMs?,When the model forgets its system prompt,When training loss plateaus,When the model generates empty outputs,When models struggle to use information from the middle of long contexts,Research shows LLMs perform better with information at the beginning or end of context and tend to miss details in the middle.
LLMs,4,What is a KV cache in LLMs?,A key-value database for storing prompts,A cache for model weights,A memory for storing training examples,A cache storing key and value tensors from previous tokens to speed up generation,The KV cache avoids recomputing attention keys and values for already-processed tokens significantly speeding up autoregressive generation.
LLMs,2,What is few-shot prompting?,Training the model on a few examples,Fine-tuning with limited data,Using a small model,Providing a few input-output examples in the prompt to guide the model,Few-shot prompting gives the model several demonstrations of the desired task format helping it generalize to new inputs.
Transformers,1,Who introduced the Transformer architecture?,Yann LeCun,Geoffrey Hinton,Andrew Ng,Vaswani et al. in the paper Attention Is All You Need,The Transformer architecture was introduced in 2017 by Vaswani and colleagues at Google in the landmark paper Attention Is All You Need.
Transformers,1,What is the core mechanism of the Transformer?,Recurrent connections,Convolutional filters,Pooling layers,Self-attention,Self-attention allows each token in a sequence to attend to all other tokens enabling the model to capture long-range dependencies.
Transformers,1,What does the encoder in a Transformer do?,Generate output tokens,Compute the final loss,Store model weights,Process the input sequence into contextual representations,The encoder transforms input tokens into rich contextual embeddings that capture relationships between all tokens in the sequence.
Transformers,2,What is multi-head attention?,Attention applied to multiple datasets,Attention with multiple loss functions,Attention computed across multiple layers,Running attention multiple times in parallel with different learned projections,Multi-head attention allows the model to jointly attend to information from different representation subspaces at different positions.
Transformers,2,What is positional encoding in Transformers?,A way to encode labels,A method to compress sequences,A technique to normalize activations,A method to inject sequence order information into token embeddings,Since Transformers have no inherent notion of order positional encodings add position information to token embeddings.
Transformers,2,What is the feed-forward network in a Transformer block?,A recurrent layer,A convolutional layer,An attention layer,A position-wise fully connected network applied after attention,Each Transformer block contains a feed-forward network that applies two linear transformations with a nonlinearity to each position independently.
Transformers,2,What is layer normalization in Transformers?,Normalizing the number of layers,Normalizing the learning rate,Normalizing the batch size,Normalizing activations across the feature dimension for each sample,Layer normalization stabilizes training by normalizing the activations within each layer independently for each training example.
Transformers,3,What is the difference between encoder-only and decoder-only Transformers?,Encoder-only models are larger,Decoder-only models use convolutions,Encoder-only models generate text,Encoder-only models produce representations while decoder-only models generate sequences,BERT is encoder-only suited for understanding tasks while GPT is decoder-only suited for generation tasks.
Transformers,3,What is masked self-attention in decoder Transformers?,Attention that ignores padding,Attention applied to masked images,Attention that drops random heads,Attention where each token can only attend to previous tokens,Masked self-attention enforces the autoregressive property by preventing tokens from attending to future positions during training.
Transformers,3,What is cross-attention in encoder-decoder Transformers?,Attention between two different models,Attention applied across batches,Attention between different layers,Attention where the decoder attends to encoder outputs,Cross-attention allows the decoder to focus on relevant parts of the encoded input sequence when generating each output token.
Transformers,3,What is the purpose of the softmax in attention?,To normalize weights to sum to one,To add nonlinearity to the network,To compute the dot product,To scale the query and key vectors,The softmax converts raw attention scores into a probability distribution over positions ensuring the attention weights sum to one.
Transformers,4,What is the computational complexity of full self-attention?,O(n log n),O(n),O(d^2),O(n^2) where n is the sequence length,Full self-attention computes pairwise interactions between all tokens resulting in quadratic complexity in sequence length.
Transformers,4,What is rotary positional embedding (RoPE)?,A learned absolute position embedding,A sinusoidal position encoding,A relative position bias added to attention logits,A positional encoding that rotates query and key vectors to encode relative positions,RoPE encodes relative position information by applying rotation matrices to queries and keys enabling better length generalization.
Transformers,4,What is flash attention?,An attention variant for image models,An attention mechanism using sparse patterns,An attention method that uses random projections,An IO-aware exact attention algorithm that reduces memory usage and speeds up computation,Flash attention reorders attention computation to minimize memory reads and writes enabling training of models with much longer sequences.
Transformers,4,What is the purpose of the scaling factor in scaled dot-product attention?,To increase the attention scores,To normalize the output embeddings,To reduce the number of heads,To prevent dot products from growing too large and causing vanishing gradients in softmax,Dividing by the square root of the key dimension keeps dot products in a range where softmax has useful gradients.
Transformers,5,What is ALiBi positional encoding?,A learned positional embedding,A sinusoidal encoding added to embeddings,A relative position encoding using rotations,A method that adds a linear bias to attention scores based on token distance,ALiBi adds a fixed linear penalty to attention scores based on distance between tokens enabling extrapolation to longer sequences than seen during training.
Transformers,5,What is the purpose of the residual connections in Transformers?,To skip the attention computation,To reduce the number of parameters,To normalize the gradients,To allow gradients to flow directly through the network and enable training of deep models,Residual connections add the input of each sub-layer to its output helping gradients flow during backpropagation and enabling very deep Transformer stacks.
Transformers,5,What is grouped query attention (GQA)?,Attention applied to groups of tokens,Attention with grouped heads sharing the same output,Attention that groups similar queries,A variant where multiple query heads share a single key-value head to reduce memory,GQA reduces the KV cache size by having groups of query heads share key and value projections balancing efficiency and model quality.
Transformers,2,What is the vocabulary size in a typical LLM Transformer?,10,100,1000,Typically 32000 to 100000 tokens,Modern LLMs use vocabularies of tens of thousands of subword tokens created by algorithms like BPE or SentencePiece.
Transformers,3,What is the role of the value matrix in attention?,To compute similarity scores,To determine which tokens to attend to,To encode positional information,To produce the weighted combination of information from attended positions,The value matrix transforms token representations into the content that gets aggregated based on the attention weights.
Prompt Engineering,1,What is prompt engineering?,Training a new model,Modifying model weights,Compressing model inputs,Designing effective inputs to guide AI model outputs,Prompt engineering involves crafting instructions and context to elicit desired responses from language models without changing their weights.
Prompt Engineering,1,What is a system prompt?,A prompt that crashes the model,A prompt used during training,A prompt that sets the output format,A prompt that defines the model's role and behavior for a conversation,System prompts provide high-level instructions to the model about its persona constraints and goals before the user conversation begins.
Prompt Engineering,2,What is few-shot prompting in prompt engineering?,Prompting with very short inputs,Prompting without any examples,Prompting with a single example,Including several input-output examples in the prompt to demonstrate the task,Few-shot prompting provides the model with demonstrations of the desired behavior helping it understand the expected format and style.
Prompt Engineering,2,What is zero-shot prompting?,Prompting with zero tokens,Prompting with no system message,Prompting with many examples,Asking the model to perform a task with no examples provided,Zero-shot prompting relies entirely on the model's pre-trained knowledge to complete a task without any demonstrations.
Prompt Engineering,2,What is chain-of-thought (CoT) prompting?,A method to chain multiple API calls,A technique to link prompts together,A way to compress reasoning steps,Encouraging the model to show step-by-step reasoning before giving an answer,CoT prompting improves accuracy on complex reasoning tasks by having the model articulate intermediate steps before reaching a conclusion.
Prompt Engineering,3,What is self-consistency in prompt engineering?,Ensuring the prompt has no typos,Using the same prompt every time,Avoiding contradictions in the system prompt,Sampling multiple reasoning paths and selecting the most common answer,Self-consistency improves reliability by generating multiple chain-of-thought solutions and taking a majority vote over the final answers.
Prompt Engineering,3,What is ReAct prompting?,A prompting style for reactive systems,A method to reduce hallucinations,A technique to format outputs as JSON,A framework combining reasoning traces and actions for tool-using agents,ReAct interleaves reasoning steps with actions like tool calls allowing models to gather information and reason about it iteratively.
Prompt Engineering,3,What is a prompt template?,A pre-trained model for prompting,A fixed output format,A type of fine-tuning,A reusable structure with placeholders for dynamic content,Prompt templates standardize the format of prompts by defining a structure where specific variables are filled in at runtime.
Prompt Engineering,3,What is output formatting in prompt engineering?,Changing the model's tokenizer,Adjusting the model's temperature,Modifying the training data,Instructing the model to return responses in a specific structure like JSON or markdown,Specifying output format in the prompt helps ensure the model returns structured data that downstream systems can reliably parse.
Prompt Engineering,4,What is prompt chaining?,Linking prompts to training data,Combining multiple models,Repeating the same prompt,Breaking a complex task into sequential prompts where each output feeds the next,Prompt chaining decomposes complex workflows into manageable steps improving reliability and allowing intermediate verification.
Prompt Engineering,4,What is the role of delimiters in prompts?,To end the conversation,To separate training examples,To mark the end of a token,To clearly separate different sections of a prompt such as instructions and input,Delimiters like triple quotes or XML tags help the model distinguish between instructions context and user input reducing confusion.
Prompt Engineering,4,What is meta-prompting?,Prompting about hardware specs,Prompting to change model weights,Prompting to retrieve training data,Using a prompt to generate or improve other prompts,Meta-prompting leverages the model's language understanding to automatically create or refine prompts for specific tasks.
Prompt Engineering,5,What is automatic prompt optimization?,Manually writing better prompts,Compressing prompts to save tokens,Using a fixed prompt for all tasks,Using algorithms to automatically search for high-performing prompts,Automatic prompt optimization methods like APE use the model itself or search algorithms to find prompts that maximize task performance.
Prompt Engineering,5,What is the tree of thoughts prompting technique?,A hierarchical prompt structure,A method to organize system prompts,A way to format outputs as trees,A framework where the model explores multiple reasoning branches and evaluates them,Tree of Thoughts extends chain-of-thought by allowing the model to consider multiple reasoning paths and backtrack enabling more deliberate problem solving.
Prompt Engineering,2,What is role prompting?,Assigning a role to the user,Defining the model's training role,Setting the output language,Instructing the model to adopt a specific persona or expert role,Role prompting like asking the model to act as an expert can improve response quality by activating relevant knowledge patterns.
Prompt Engineering,4,What is prompt injection?,A method to speed up prompts,A technique to add context,A way to compress long prompts,An attack where malicious text in the input overrides the original instructions,Prompt injection is a security vulnerability where adversarial content in user input manipulates the model into ignoring its original instructions.
Prompt Engineering,3,What is the difference between a prompt and a completion?,A completion is the input and a prompt is the output,They are the same thing,A prompt is a model weight update,A prompt is the input to the model and a completion is the model's generated response,The prompt is what you send to the model and the completion is the text the model generates in response.
Prompt Engineering,5,What is soft prompting?,Using informal language in prompts,Avoiding technical terms in prompts,Using shorter prompts,Prepending learnable continuous vectors to the input instead of discrete text tokens,Soft prompting or prompt tuning optimizes continuous embeddings prepended to the input allowing task adaptation without modifying model weights.
Prompt Engineering,1,What is the purpose of giving context in a prompt?,To increase the model's temperature,To reduce the token count,To change the model's architecture,To help the model understand the background and produce more relevant responses,Providing context in a prompt gives the model the information it needs to generate accurate and relevant responses.
Prompt Engineering,2,What is a negative prompt?,A prompt that insults the model,A prompt with no instructions,A prompt that reduces model confidence,Instructions telling the model what to avoid or exclude in its response,Negative prompts guide the model away from unwanted content styles or behaviors improving output quality and safety.
Fine-tuning,1,What is fine-tuning in machine learning?,Training a model from scratch,Evaluating a model on test data,Compressing a model's weights,Continuing training a pre-trained model on a specific dataset,Fine-tuning adapts a pre-trained model to a new task by training it further on task-specific data with a lower learning rate.
Fine-tuning,1,Why is fine-tuning preferred over training from scratch?,It requires more data,It always produces worse results,It is slower than training from scratch,It is faster and requires less data by leveraging pre-trained knowledge,Fine-tuning takes advantage of representations already learned during pre-training reducing the data and compute needed for a new task.
Fine-tuning,2,What is LoRA in the context of fine-tuning?,A type of learning rate scheduler,A regularization technique,A data augmentation method,Low-Rank Adaptation which adds trainable low-rank matrices to frozen model weights,LoRA reduces the number of trainable parameters by decomposing weight updates into low-rank matrices making fine-tuning efficient.
Fine-tuning,2,What is catastrophic forgetting in fine-tuning?,When the model forgets the task,When training loss increases,When the model runs out of memory,When fine-tuning on new data causes the model to lose previously learned knowledge,Catastrophic forgetting occurs when gradient updates for new tasks overwrite the weights that encoded knowledge from pre-training.
Fine-tuning,2,What is the learning rate typically set to during fine-tuning?,The same as pre-training,Higher than pre-training,Zero,Lower than pre-training to avoid overwriting learned representations,A small learning rate during fine-tuning prevents large weight updates that would destroy the useful representations learned during pre-training.
Fine-tuning,3,What is QLoRA?,A quantized version of the attention mechanism,A quality metric for fine-tuning,A query-based LoRA variant,Fine-tuning using quantized base model weights combined with LoRA adapters,QLoRA enables fine-tuning of large models on consumer hardware by quantizing the base model to 4-bit precision and training only LoRA adapters.
Fine-tuning,3,What is instruction fine-tuning?,Fine-tuning on code only,Fine-tuning to reduce model size,Fine-tuning on raw text corpora,Fine-tuning a model on pairs of instructions and desired responses,Instruction fine-tuning teaches models to follow natural language instructions by training on curated datasets of instruction-response pairs.
Fine-tuning,3,What is PEFT?,Partial Embedding Fine-Tuning,Probabilistic Ensemble Fine-Tuning,Parallel Efficient Feature Training,Parameter-Efficient Fine-Tuning methods that update only a small subset of parameters,PEFT methods like LoRA and prefix tuning reduce the cost of fine-tuning by keeping most model weights frozen and only training a small number of new parameters.
Fine-tuning,4,What is DPO (Direct Preference Optimization)?,A data preprocessing optimization,A distributed training protocol,A dynamic prompt optimizer,A fine-tuning method that directly optimizes for human preferences without a separate reward model,DPO simplifies RLHF by reformulating preference learning as a classification problem eliminating the need to train a separate reward model.
Fine-tuning,4,What is the purpose of a reward model in RLHF fine-tuning?,To generate training data,To compress model weights,To evaluate perplexity,To score model outputs based on human preference signals,The reward model is trained on human preference data and provides scalar rewards used to optimize the language model via reinforcement learning.
Fine-tuning,4,What is adapter-based fine-tuning?,Replacing all model layers,Training only the embedding layer,Freezing the entire model,Adding small trainable modules between frozen layers,Adapter layers are small bottleneck modules inserted into a pre-trained model allowing task-specific learning with minimal parameter overhead.
Fine-tuning,5,What is the rank parameter in LoRA?,The number of training epochs,The batch size used for fine-tuning,The learning rate multiplier,The dimensionality of the low-rank decomposition matrices,The rank r in LoRA controls the expressiveness of the weight update with lower rank meaning fewer parameters and higher rank allowing more complex adaptations.
Fine-tuning,5,What is continual learning in the context of fine-tuning?,Training on a single task forever,Fine-tuning with a constant learning rate,Training without any data,Sequentially fine-tuning on new tasks while retaining performance on previous tasks,Continual learning addresses catastrophic forgetting by using techniques like elastic weight consolidation or replay buffers to preserve old knowledge.
Fine-tuning,3,What is domain adaptation in fine-tuning?,Changing the model architecture,Adapting the tokenizer vocabulary,Translating training data,Fine-tuning a model on data from a specific domain to improve performance in that area,Domain adaptation fine-tunes a general model on domain-specific text such as medical or legal documents to improve its specialized knowledge.
Fine-tuning,2,What is the difference between full fine-tuning and PEFT?,Full fine-tuning is always better,PEFT trains more parameters,Full fine-tuning uses less memory,Full fine-tuning updates all model weights while PEFT updates only a small subset,Full fine-tuning is more expressive but computationally expensive while PEFT methods achieve comparable results with far fewer trainable parameters.
RAG,1,What does RAG stand for?,Recursive Attention Generation,Regularized Autoregressive Generation,Random Augmented Grounding,Retrieval-Augmented Generation,RAG combines information retrieval with language generation to ground model responses in external knowledge sources.
RAG,1,What problem does RAG primarily solve?,Slow inference speed,High training cost,Model size reduction,Outdated or missing knowledge in the model's parameters,RAG allows models to access up-to-date or domain-specific information at inference time without requiring retraining.
RAG,2,What is a vector database used for in RAG?,Storing model weights,Caching API responses,Logging user queries,Storing and searching document embeddings for retrieval,Vector databases enable efficient similarity search over dense embeddings allowing RAG systems to find relevant documents quickly.
RAG,2,What is the retriever component in RAG?,The component that generates the final answer,The component that tokenizes the query,The component that trains the model,The component that searches for relevant documents given a query,The retriever takes a user query and returns the most semantically similar documents from the knowledge base.
RAG,2,What is chunking in RAG?,Splitting the model into parts,Batching training examples,Compressing embeddings,Splitting documents into smaller pieces for indexing and retrieval,Chunking divides large documents into manageable segments so that the most relevant portions can be retrieved and fit within the model's context window.
RAG,3,What is dense retrieval in RAG?,Retrieval using keyword matching,Retrieval from compressed databases,Retrieval using decision trees,Retrieval using dense vector embeddings to find semantically similar documents,Dense retrieval encodes both queries and documents into embedding space and uses approximate nearest neighbor search to find relevant content.
RAG,3,What is the difference between sparse and dense retrieval?,Sparse retrieval is always better,Dense retrieval uses keyword matching,Sparse retrieval uses neural embeddings,Sparse retrieval uses term frequency methods like BM25 while dense retrieval uses neural embeddings,Sparse retrieval is fast and interpretable while dense retrieval captures semantic similarity beyond exact keyword matches.
RAG,3,What is re-ranking in RAG?,Sorting documents by date,Re-ordering model outputs,Re-training the retriever,Using a more powerful model to re-score retrieved documents for relevance,Re-ranking applies a cross-encoder or other model to the top retrieved candidates to improve the final ordering before passing to the generator.
RAG,4,What is HyDE in RAG?,A hyperparameter tuning method,A hybrid dense encoder,A hierarchical document embedding,Hypothetical Document Embeddings where the model generates a hypothetical answer to improve retrieval,HyDE generates a hypothetical answer to the query and uses its embedding for retrieval often finding more relevant documents than query-only search.
RAG,4,What is a knowledge graph used for in advanced RAG?,Storing model checkpoints,Compressing document embeddings,Replacing the language model,Representing structured relationships between entities to enhance retrieval,Knowledge graphs provide structured relational information that can complement dense retrieval by capturing explicit entity relationships.
RAG,4,What is the context stuffing problem in RAG?,When the model generates too much text,When retrieval returns no results,When the model ignores the system prompt,When too many retrieved documents exceed the model's context window,Context stuffing occurs when retrieved content is too long to fit in the context window requiring strategies like summarization or selective inclusion.
RAG,5,What is FLARE in RAG?,A fine-tuning method for retrievers,A loss function for RAG training,A fast embedding algorithm,Forward-Looking Active Retrieval that triggers retrieval when the model is uncertain,FLARE monitors the model's confidence during generation and proactively retrieves new information when it predicts low-confidence tokens.
RAG,5,What is self-RAG?,A RAG system without a retriever,A RAG system that trains itself,A RAG system using only the model's memory,A model that decides when to retrieve and critiques its own outputs using special tokens,Self-RAG trains the model to adaptively retrieve information and reflect on the quality of retrieved passages and generated responses.
RAG,3,What is metadata filtering in RAG?,Filtering out stop words,Removing duplicate embeddings,Compressing document chunks,Using document metadata like date or source to narrow the retrieval search space,Metadata filtering improves retrieval precision by restricting the search to documents matching specific attributes before semantic search.
RAG,2,What is the generator component in RAG?,The component that indexes documents,The component that embeds queries,The component that retrieves documents,The language model that produces the final answer using retrieved context,The generator takes the user query and retrieved documents as context and produces a grounded natural language response.
AI Agents,1,What is an AI agent?,A static lookup table,A rule-based chatbot,A database query engine,An autonomous system that perceives its environment and takes actions to achieve goals,AI agents combine perception reasoning and action to operate autonomously in pursuit of specified objectives.
AI Agents,1,What is the perceive-reason-act loop in AI agents?,A training algorithm,A data preprocessing pipeline,A model evaluation method,The cycle where an agent observes its environment reasons about it and takes an action,This loop is the fundamental operating cycle of AI agents enabling them to interact with and adapt to dynamic environments.
AI Agents,2,What is a tool in the context of AI agents?,A hardware component,A training dataset,A model architecture,A function or API the agent can call to interact with external systems,Tools extend an agent's capabilities by allowing it to perform actions like web search code execution or database queries.
AI Agents,2,What is an agent's memory?,The model's parameter count,The training data size,The GPU memory used,The ability to store and retrieve information across interactions,Agent memory allows the system to maintain context learn from past interactions and build up knowledge over time.
AI Agents,2,What is planning in AI agents?,Selecting the model architecture,Choosing the training objective,Compressing the action space,Decomposing a goal into a sequence of steps or sub-tasks,Planning enables agents to tackle complex goals by breaking them into manageable actions and reasoning about their order and dependencies.
AI Agents,3,What is the ReAct framework for agents?,A reactive programming framework,A reinforcement learning algorithm,A retrieval augmentation technique,A framework combining reasoning traces with action execution in an interleaved manner,ReAct allows agents to think step by step and take actions based on observations creating a tight loop between reasoning and doing.
AI Agents,3,What is an agent's action space?,The set of training examples,The set of model parameters,The set of possible inputs,The set of all possible actions the agent can take,The action space defines what an agent can do such as calling tools sending messages or modifying state.
AI Agents,3,What is a scratchpad in AI agents?,A temporary model checkpoint,A cache for embeddings,A log of training losses,A working memory where the agent records intermediate thoughts and observations,The scratchpad allows agents to maintain a chain of thought across multiple steps helping them reason through complex multi-step tasks.
AI Agents,3,What is goal decomposition in AI agents?,Splitting the model into sub-models,Dividing the training data,Reducing the action space,Breaking a high-level goal into smaller achievable sub-goals,Goal decomposition enables agents to handle complex objectives by recursively breaking them down into simpler tasks that can be executed sequentially.
AI Agents,4,What is the difference between reactive and deliberative agents?,Reactive agents are slower,Deliberative agents use less memory,Reactive agents plan ahead,Reactive agents respond directly to stimuli while deliberative agents build internal models and plan,Reactive agents are fast and simple while deliberative agents reason about the world and plan sequences of actions to achieve goals.
AI Agents,4,What is an agent executor?,A hardware accelerator,A training optimizer,A data loader,The runtime that manages the agent loop calling tools and passing results back to the model,The agent executor orchestrates the interaction between the language model and tools handling the loop of reasoning and action.
AI Agents,4,What is grounding in AI agents?,Connecting the agent to the internet,Reducing the agent's output length,Limiting the agent's action space,Connecting the agent's outputs to real-world facts or external data sources,Grounding prevents hallucination by anchoring the agent's responses in verified external information retrieved from tools or databases.
AI Agents,4,What is an agent's observation?,The model's training loss,The agent's internal state,The user's original query,The information returned to the agent after taking an action,Observations are the results of tool calls or environment interactions that the agent uses to update its reasoning and plan next steps.
AI Agents,5,What is the exploration-exploitation tradeoff in agent systems?,Choosing between training and inference,Balancing model size and speed,Deciding between retrieval and generation,Balancing trying new actions to discover better strategies versus using known good actions,Agents must decide when to explore new strategies that might yield better outcomes versus exploiting known effective approaches.
AI Agents,5,What is a world model in AI agents?,A global knowledge base,A multilingual language model,A model trained on all domains,An internal representation the agent uses to simulate and predict the effects of actions,World models allow agents to reason about consequences before acting enabling more efficient planning and reducing costly real-world mistakes.
AI Agents,2,What is an autonomous agent?,An agent that requires constant human input,An agent that only answers questions,An agent that runs on specialized hardware,An agent that can complete multi-step tasks without human intervention,Autonomous agents operate independently by planning executing and adapting their behavior to achieve goals with minimal human oversight.
AI Agents,3,What is tool selection in AI agents?,Choosing the best hardware,Selecting training data,Picking the model architecture,The process of deciding which tool to call given the current task and context,Effective tool selection requires the agent to understand the capabilities of available tools and match them to the current sub-task.
AI Agents,5,What is agent alignment?,Aligning the agent's hardware,Aligning training data formats,Aligning the agent's embeddings,Ensuring the agent's goals and behaviors match human values and intentions,Agent alignment is a critical safety challenge ensuring that autonomous agents pursue objectives that are beneficial and consistent with human preferences.
AI Agents,4,What is a feedback loop in AI agents?,A loop in the training code,A recursive function call,A circular dependency in tools,The cycle where the agent receives results from actions and uses them to refine subsequent decisions,Feedback loops allow agents to learn from the outcomes of their actions and iteratively improve their approach to achieving goals.
AI Agents,1,What distinguishes an AI agent from a simple chatbot?,Chatbots have more parameters,Chatbots use more memory,Chatbots are more accurate,Agents can take actions and use tools while chatbots only generate text responses,AI agents go beyond conversation by executing actions interacting with external systems and pursuing goals across multiple steps.
Agentic AI,1,What is agentic AI?,AI that only answers questions,AI that classifies images,AI that compresses data,AI systems that autonomously pursue goals through multi-step reasoning and action,Agentic AI refers to systems that go beyond single-turn responses to autonomously plan execute and adapt across complex multi-step tasks.
Agentic AI,2,What is a long-horizon task in agentic AI?,A task with a long prompt,A task requiring large models,A task with many output tokens,A task requiring many sequential steps and decisions over an extended period,Long-horizon tasks challenge agentic systems to maintain coherent goals manage state and recover from errors across many interactions.
Agentic AI,2,What is human-in-the-loop in agentic AI?,A training technique,A hardware configuration,A model evaluation method,A design pattern where humans can review and approve agent actions at key decision points,Human-in-the-loop systems balance autonomy with oversight allowing humans to intervene when the agent faces uncertain or high-stakes decisions.
Agentic AI,3,What is task persistence in agentic AI?,The model's ability to remember training data,The agent's GPU memory,The length of the system prompt,The agent's ability to continue working toward a goal across multiple sessions,Task persistence enables agentic systems to resume interrupted tasks maintain progress state and complete long-running objectives.
Agentic AI,3,What is self-reflection in agentic AI?,The model evaluating its own weights,The agent monitoring its GPU usage,The agent repeating its last action,The agent's ability to evaluate and critique its own outputs and reasoning,Self-reflection allows agents to identify errors in their reasoning correct mistakes and improve the quality of their responses iteratively.
Agentic AI,3,What is an agentic loop?,A circular dependency bug,A recursive training procedure,A loop in the model architecture,The repeated cycle of perceiving reasoning acting and observing that drives agent behavior,The agentic loop is the core operational pattern where the agent continuously processes observations makes decisions and takes actions until the goal is achieved.
Agentic AI,4,What is dynamic task planning in agentic AI?,Planning based on hardware availability,Planning using fixed templates,Planning without any tools,Adapting the plan in real-time based on new information and intermediate results,Dynamic planning allows agents to revise their approach when unexpected results occur rather than rigidly following a pre-determined sequence.
Agentic AI,4,What is the role of memory in long-running agentic tasks?,To store model weights,To cache API responses,To log training metrics,To maintain context state and learned information across many steps,Memory systems allow agentic AI to track progress store intermediate results and recall relevant past information over extended task execution.
Agentic AI,4,What is error recovery in agentic AI?,Restarting the model from scratch,Ignoring failed tool calls,Logging errors to a database,The agent's ability to detect failures and adapt its strategy to continue toward the goal,Robust error recovery is essential for agentic systems operating in real environments where tool calls may fail or produce unexpected results.
Agentic AI,5,What is the principal-agent problem in agentic AI?,A problem with the principal component analysis,A hardware scheduling issue,A training data imbalance,The challenge of ensuring an agent acts in the interest of the principal who deployed it,The principal-agent problem arises when the agent's learned objectives diverge from the deployer's intentions creating alignment and safety risks.
